sample_id,has_try_block,try_blocks,empty_catches,generic_catches,has_retry,has_timeout,has_circuit_breaker,has_backoff,recovery_present,propagation_violations,notes
api_chatgpt_02,1,1,0,0,0,1,0,0,1,0,None
config_chatgpt_03,0,0,0,0,0,1,0,0,1,0,None
config_claude_01,0,0,0,0,0,1,0,0,1,0,None
api_claude_01,0,0,0,0,0,1,0,0,1,0,None
api_copilot_01,1,2,0,1,0,1,0,0,1,0,None
dbquery_chatgpt_02,1,2,0,0,0,0,0,0,0,0,None
dbquery_claude_05,1,2,0,0,0,0,0,0,0,0,None
dbquery_claude_03,1,2,0,0,0,0,0,0,0,0,None
parallel_copilot_04,1,2,0,0,0,1,0,0,1,0,None
fileio_copilot_01,1,2,0,0,0,0,0,0,0,0,None
fileio_chatgpt_02,0,0,0,0,0,0,0,0,0,0,None
fileio_chatgpt_04,0,0,0,0,0,0,0,0,0,0,None
fileio_copilot_02,0,0,0,0,0,0,0,0,0,0,None
fileio_claude_02,1,1,0,0,0,0,0,0,0,0,None
fileio_claude_05,1,1,0,0,0,0,0,0,0,0,None
config_copilot_01,1,2,0,1,0,1,0,0,1,0,None
api_copilot_04,1,1,0,1,0,1,0,0,1,0,None
api_copilot_05,1,1,0,1,0,0,0,0,0,0,None
dbquery_copilot_05,1,2,0,0,0,0,0,0,0,0,None
fileio_copilot_05,0,0,0,0,0,0,0,0,0,0,None
config_claude_04,1,1,0,0,0,1,0,0,1,0,None
api_chatgpt_04,0,0,0,0,0,0,0,0,0,0,None
dbquery_claude_04,1,2,0,0,0,0,0,0,0,0,None
fileio_chatgpt_05,0,0,0,0,0,0,0,0,0,0,None
parallel_copilot_01,1,2,0,0,0,0,0,0,0,0,None